headline,body,location,time_published,Text
Bangladesh vis-a-vis Nepal: Bridging hearts and minds in the region's neighbourhood,"On the map of South Asia, if the gentle bend of Nepal’s rectangular strip can be seen nestling snugly in the lap of the central Himalayas in the north, Bangladesh in the southeast — a country on water — looks like an amphibian emerging restlessly from the great Bay to bask its rain-drenched skin on the second largest delta in the world. The contrast, somehow, does not end with cartography.",Opinion,"15 Sep, 2022 ",bangladesh vi vi nepal bridging heart mind region neighbourhood map south asia gentle bend nepal rectangular strip seen nestling snugly lap central himalaya north bangladesh southeast country water look like amphibian emerging restlessly great bay bask rain drenched skin second largest delta world. contrast somehow end cartography.
EDITORIAL: Beyond the niceties,Nepal has reiterated its One China Policy during the official visit of Chairman of the Standing Committee of the National People’s Congress of the People’s Republic of China Li Zhanshu.,Opinion,"15 Sep, 2022 ",editorial beyond nicety nepal reiterated one china policy official visit chairman standing committee national people congress people republic china li zhanshu.
Student and faculty exchanges: The way forward,"Over the last two years, many students — mostly those in developing countries without ready access to the internet — missed out on formal education for an extended period of time due to COVID-19.",Opinion,"14 Sep, 2022 ",student faculty exchange way forward last two year many student mostly developing country without ready access internet missed formal education extended period time due covid .
EDITORIAL: Education in Madhes,"Following the restructuring of the state on federal lines, education upto the plus two level and the management of the teachers are the responsibility of the local levels. However, the Federal Education Bill is in the process of being endorsed by the federal parliament.",Opinion,"14 Sep, 2022 ",editorial education madhes following restructuring state federal line education upto plus two level management teacher responsibility local levels. however federal education bill process endorsed federal parliament.
Queen Elizabeth's demise: The end of a long political era,"Her Majesty the Queen of England, Elizabeth the Second, has departed for her heavenly abode after 70 glorious years of her reign. It has triggered a wave of sadness around the globe.",Opinion,"13 Sep, 2022 ",queen elizabeth demise end long political era majesty queen england elizabeth second departed heavenly abode glorious year reign. triggered wave sadness around globe.
EDITORIAL: Food security,"Nepal is largely dependent on the import of rice, the staple diet of the Nepalis, to feed its population, and any major decision by the Indian government on its export has telling impact on Nepal’s food supply.",Opinion,"13 Sep, 2022 ",editorial food security nepal largely dependent import rice staple diet nepali feed population major decision indian government export telling impact nepal food supply.
More kids are repeating a grade: Is it good for them?,"As Braylon Price remembers it, he struggled with pretty much everything the first full school year of the pandemic. With minimal guidance and frequent disruptions, he had trouble staying on top of assignments and finishing homework on time.",Opinion,"12 Sep, 2022 ",kid repeating grade good braylon price remembers struggled pretty much everything first full school year pandemic. minimal guidance frequent disruption trouble staying top assignment finishing homework time.
EDITORIAL: Health systems,Right to access to affordable health care is one of the fundamental rights guaranteed by the constitution promulgated in 2015.,Opinion,"12 Sep, 2022 ",editorial health system right access affordable health care one fundamental right guaranteed constitution promulgated .
Rural Indians rush to join studies abroad: As prospects dim at home,"When 19-year-old Sachin failed to score the grades he needed to get into a good Indian college, his father, a small shopkeeper, took a loan and dug deep into the family savings to help him secure a Canadian student visa.",Opinion,"09 Sep, 2022 ",rural indian rush join study abroad prospect dim home year old sachin failed score grade needed get good indian college father small shopkeeper took loan dug deep family saving help secure canadian student visa.
EDITORIAL: Let NMC decide,"Following a series of unwarranted incidents involving medical doctors, Nepal Medical Council (NMC) has urged the concerned authorities not to take things into their hands should negligence in medical treatment be feared.",Opinion,"09 Sep, 2022 ",editorial let nmc decide following series unwarranted incident involving medical doctor nepal medical council nmc urged concerned authority take thing hand negligence medical treatment feared.
