headline,body,location,time_published
Invictus Games 2023: Time to get into action,"An idea of the Duke of Sussex, mostly known as Prince Harry of the British Royal family, the Games are a showcase of resilience and determination, the only games that bring together former service personnel, military women and men who got wounded during their duties.",Opinion,"11 Aug, 2022 "
EDITORIAL - Deposit scarcity,"After seeing a surge in deposits in the commercial banks and financial institutions (BFIs) towards the closing month of last fiscal year, they are once again facing a scarcity of fresh deposits in the current fiscal.",Opinion,"10 Aug, 2022 "
Lacuna in Nepali history: Giving rise to jingoism,There is almost a fetishized emphasis in every social stream to stress the indispensability of history.,Opinion,"10 Aug, 2022 "
Speaker Pelosi's visit to Taiwan: Is it sowing the seeds of World War III?,People round the globe have their attention focussed on Taiwan regarding what will happen after United States House Speaker Nancy Pelosi visited Taiwan amidst stern warning from China. Pelosi ignored the warning and landed in Taiwan as on a routine flight.,Opinion,"09 Aug, 2022 "
EDITORIAL: Build public toilets,"Since the beginning of human civilisation, people have been giving utmost importance to maintaining health and hygiene to prevent themselves from various kinds of communicable diseases that are transmitted to humans as a result of poor sanitation.",Opinion,"09 Aug, 2022 "
Quality education: Through public-private partnerships,"As per the report of the Ministry of Education, Science and Technology(2078 B.S.), there are 34,468 schools in Nepal, of which 26,454 are community schools, 6,760 institutional, often regarded as private, and 1,154 religious ones.",Opinion,"05 Aug, 2022 "
EDITORIAL- Koshi wrecks havoc,"Thousands of people in Sunsari and Udaypur districts were displaced after the swollen Koshi River breached the embankment at Lahure Khoch Dumbribote in Belaka Municipality, Udaypur in the wee hours of Wednesday.",Opinion,"05 Aug, 2022 "
The enigma of death: Straight from the heart,The first time I felt the ephemeral nature of life was when I heard of the passing away of my maternal grandmother about 15 years ago.,Opinion,"04 Aug, 2022 "
EDITORIAL: Stop being careless,"COVID-19 has once again been spreading alarmingly across the country in recent days, but there does not seem to be much concern about the disease among the general public.",Opinion,"04 Aug, 2022 "
EDITORIAL - Women in politics,"Constitutionally all the political parties are required to ensure at least 33 per cent representation of women in the federal parliament and provincial assemblies, either through the first-past-thepost (FPtP) or the proportional representation (PR) system.",Opinion,"03 Aug, 2022 "
"SAARC, Setubandh and South Asia: The links missing in vision and strategy","A single glance at the map of the subcontinent of South Asia shows the peninsula is disconnected from Sri Lanka in the south by the Palk Strait, a mere stretch of 12 kilometres.",Opinion,"03 Aug, 2022 "
Acquittal of the finance minister: Overshadowed by partisan politics,"Janardan Sharma, the immediate past finance minister, has received a new lease of life after he was found innocent by an investigation committee.",Opinion,"02 Aug, 2022 "
Quid pro quo between Altan Khan and Dalai Lama : For enlightenment of society,"If the title of the article confounds the reader, it will have served its purpose. Quid pro quo, meaning give and take in Latin, is normally applied for personal gain or an informal deal between two or more people.",Opinion,"01 Aug, 2022 "
EDITORIAL: Tiger population,"Nepal has nearly tripled the tiger population in the past decade, thanks to rigorous efforts from conservationists, security personnel, policymakers and endless cooperation of the local communities.",Opinion,"01 Aug, 2022 "
Central Indian forests: Sites of growing conflict,India’s indigenous communities are collectively referred to as “Adivasis” and officially enjoy special protection as “scheduled tribes”.,Opinion,"29 Jul, 2022 "
EDITORIAL: Poor results,"The National Examination Board (NEA) on Wednesday published the results of the Secondary Education Examination (SEE) of the year 2078 BS (2022), taken at the end of class 10, which, unfortunately, show a sharp decline in students’ performance compared to previous times.",Opinion,"29 Jul, 2022 "
Skydiving: A thrilling adventure sport,"Tourism, the mainstay of our national economy, contributed 3.6 per cent to the Gross Domestic Product (GDP) in 2019, while generating more than $2.2 billion in foreign exchange.",Opinion,"28 Jul, 2022 "
EDITORIAL: Ban on plastic bags,"Come August 17, the use of plastic bags below 40 microns will be completely banned from the market.",Opinion,"28 Jul, 2022 "
A just public health system: To take better care of citizens,In my latest piece I wrote about resilience and how a just an inclusive public health system can be paramount to having the most vulnerable citizens enjoy their rights instead of dying or having their families end up bankrupt.,Opinion,"27 Jul, 2022 "
EDITORIAL: Mind the gap,"Nepal’s alarming trade deficit, which stood at Rs 1.7 trillion last fiscal year ending mid-July, is simply unacceptable.",Opinion,"27 Jul, 2022 "
Political activism of the first lady: Towards better or worse?,"Arzu is donning double hats at the present. On the one hand, she is the central committee member of the NC.",Opinion,"26 Jul, 2022 "
EDITORIAL: Tourism decade,"The Ministry of Culture, Tourism and Civil Aviation (MoCTCA) unveiled a 74-page Tourism Revitalisation Action Plan-2022 to promote sustainable development of tourism, which has been battered by the COVID-19 pandemic that gripped the entire world since early 2020.",Opinion,"26 Jul, 2022 "
Role of the regulatory body in building Digital Nepal,Many countries around the world have declared it as a Fundamental Right to ensure the access of citizens to broadband services and the day seems not so far when the Government of Nepal also declares Internet service as an essential service.,Opinion,"25 Jul, 2022 "
"It's a noisy, noisy world: Why quietude makes good sense","We all know much about clatter, because clamour has become the ‘measure’ of our being.",Opinion,"25 Jul, 2022 "
EDITORIAL: Welcome step,"The House of Representatives (HoR) on Friday passed the much-awaited citizenship bill, enabling thousands of children born of parents who are Nepali citizens to obtain citizenship of this country, but women say discrimination against them persist.",Opinion,"25 Jul, 2022 "
Oil price windfall: Testing Gulf's fiscal discipline,"A petrodollar windfall is helping some Gulf Arab states pay down debt and providing cash for others to diversify their oil-reliant economies, but it is also testing commitments to fiscal discipline as governments try to shield citizens from inflation.",Opinion,"22 Jul, 2022 "
EDITORIAL: Use the fee properly,"The government has been collecting indirect taxes from the consumers for specific purposes for many years, but the collected funds are hardly utilised properly due to lack of its institutional capacity.",Opinion,"22 Jul, 2022 "
EDITORIAL - Mountain tourism,"Nepal’s mountains attract tens of thousands of visitors every year, some to go on expeditions, others to marvel at their sight up-close.",Opinion,"21 Jul, 2022 "
Integration of soft skills in education: A must to compete in the global market,"Today's changing trend in education, globalisation and an ever-growing competitive market place require highly skilled human resource. Soft skills must be demonstrated in every sector of life, including academics and professional life. In imparting knowledge to the students, teachers play a vital role, and his/her role or activities are imitated by the students.",Opinion,"21 Jul, 2022 "
